date,t_hs,t_hs_set,water_pressure,t_dhw,t_dhw_set,t_return,flow_rate,status_pump,runtime_comp,runtime_pump,posmix,qboh,qchhp,qsc,qch,qwp,qdhw,tvbh2,tliq2,tr2,ta2,tdhw2,mode,pump,ehs,bpv,t_v1,t_dhw1,t_vbh,t_outdoor_ot1,t_r1,v1,heat_slope,t_dhw_setpoint1,t_dhw_setpoint2,t_dhw_setpoint3,hyst_hp,t_ext,t_hc_set,t_hc,duration
2023-01-02 16:33:45.690133,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.4,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,31.4,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.4,0:00:09.903680
2023-01-02 16:34:25.666512,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.7,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,31.6,10.4,23.0,0,0.3,48.0,48.0,48.0,7.0,10.4,42.0,31.6,0:00:09.953108
2023-01-02 16:35:05.402976,30.8,0.0,1.247,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.4,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,31.4,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,31.4,0:00:09.713113
2023-01-02 16:35:45.219260,30.8,0.0,1.247,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.0,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,32.2,0:00:09.789737
2023-01-02 16:36:25.067641,30.8,0.0,1.244,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.1,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.0,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,32.0,0:00:09.827713
2023-01-02 16:37:04.803953,30.8,0.0,1.244,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.0,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.1,0:00:09.703612
2023-01-02 16:37:44.524251,30.8,0.0,1.247,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.8,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,31.8,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,31.8,0:00:09.690463
2023-01-02 16:38:25.060537,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.2,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.1,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.0,0:00:10.506021
WARNING:root:Error "invalid frame size (got 7, expected 14)" while reading parameter "t_hc_set"...
2023-01-02 16:39:05.132946,30.8,0.0,1.25,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.5,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.5,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,None,32.4,0:00:10.039554
2023-01-02 16:39:45.061234,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.3,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.2,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.1,0:00:09.896693
2023-01-02 16:40:24.861431,30.7,0.0,1.247,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.3,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.6,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.7,0:00:09.767838
2023-01-02 16:41:04.629692,30.8,0.0,1.247,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.2,15.5,23.0,40.0,47.7,0,0,0,100,30.7,47.7,32.1,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,32.1,0:00:09.756316
2023-01-02 16:41:44.430121,30.8,0.0,1.245,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.0,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,32.2,0:00:09.766582
2023-01-02 16:42:24.486484,30.8,0.0,1.245,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.4,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.4,10.1,23.0,0,0.3,48.0,48.0,48.0,7.0,10.1,42.0,32.4,0:00:10.027987
2023-01-02 16:43:04.222834,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.1,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.1,10.1,23.0,0,0.3,48.0,48.0,48.0,7.0,10.1,42.0,32.0,0:00:09.711476
2023-01-02 16:43:43.975197,30.8,0.0,1.245,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.0,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,32.0,0:00:09.725792
2023-01-02 16:44:24.078597,30.8,0.0,1.244,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,31.9,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,31.9,0:00:10.100608
2023-01-02 16:45:03.798131,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.8,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,31.9,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,31.9,0:00:09.698507
2023-01-02 16:45:43.565861,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.0,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,32.0,0:00:09.737372
2023-01-02 16:46:23.221263,30.8,0.0,1.245,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.2,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.2,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.0,0:00:09.650914
2023-01-02 16:47:02.844955,30.8,0.0,1.247,47.6,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.0,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,32.0,0:00:09.593342
2023-01-02 16:47:42.644611,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.6,31.8,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,31.9,0:00:09.766812
2023-01-02 16:48:22.604349,30.8,0.0,1.246,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.4,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.7,32.3,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,32.1,0:00:09.929389
2023-01-02 16:49:02.420044,30.8,0.0,1.247,47.6,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.1,15.5,23.0,40.0,47.7,0,0,0,100,30.9,47.6,32.2,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,32.3,0:00:09.793952
2023-01-02 16:49:42.155903,30.8,0.0,1.245,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.6,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.6,31.6,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,31.5,0:00:09.705431
2023-01-02 16:50:22.035244,30.8,0.0,1.246,47.6,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,23.0,40.0,47.6,0,0,0,100,30.8,47.6,31.9,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,31.9,0:00:09.848982
2023-01-02 16:51:01.771141,30.8,0.0,1.247,47.7,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,32.0,15.5,23.0,40.0,47.6,0,0,0,100,30.8,47.6,31.9,10.3,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,31.9,0:00:09.718968
2023-01-02 16:51:41.539023,30.8,0.0,1.247,47.6,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.9,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.6,31.8,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.3,42.0,31.8,0:00:09.742932
2023-01-02 16:52:21.882927,30.8,0.0,1.247,47.6,48.0,23.0,0,0,1702,2787,0,13,0,0,8420,11229,2843,31.8,15.5,23.0,40.0,47.7,0,0,0,100,30.8,47.6,31.7,10.2,23.0,0,0.3,48.0,48.0,48.0,7.0,10.2,42.0,31.7,0:00:10.313550
